iter	RMSE
0	0.01574398037
1	0.01530940251
2	0.01490876673
3	0.01451520566
4	0.01415383939
5	0.01380368035
6	0.01348991923
7	0.01322358015
8	0.01297442841
9	0.01273900146
10	0.01250661621
11	0.01227069272
12	0.01205659689
13	0.01186245542
14	0.01167155661
15	0.01149802128
16	0.011309211
17	0.01113456952
18	0.01098668849
19	0.01083301171
20	0.01070894107
21	0.01058818743
22	0.01046070491
23	0.01033078558
24	0.01020280463
25	0.01008848893
26	0.009984162836
27	0.009904062721
28	0.009833939228
29	0.009745221073
30	0.009655064427
31	0.00957531628
32	0.009479958137
33	0.009399502737
34	0.009314431233
35	0.00924457229
36	0.009174299372
37	0.009116186615
38	0.009065480778
39	0.009009018831
40	0.008940312
41	0.008885973894
42	0.008831100284
43	0.008764364547
44	0.008698138946
45	0.008629267129
46	0.008568177538
47	0.008525734677
48	0.008466198318
49	0.008422854021
50	0.008376228468
51	0.008337793678
52	0.00828470871
53	0.008230547393
54	0.008193500058
55	0.008145887438
56	0.00809379291
57	0.008057946832
58	0.008022508268
59	0.007989109629
60	0.007932869765
61	0.007889973605
62	0.007851738901
63	0.007814287385
64	0.007784583824
65	0.007749637279
66	0.007715325751
67	0.007662974757
68	0.007625874067
69	0.007588937976
70	0.00754097673
71	0.007516603106
72	0.007484088639
73	0.007459603476
74	0.007434431497
75	0.007414864245
76	0.007385662243
77	0.007371947592
78	0.007342688487
79	0.007325909313
80	0.007292247776
81	0.007262099978
82	0.007228765061
83	0.007204309232
84	0.007187118862
85	0.007160776023
86	0.007142412709
87	0.007127776858
88	0.00710054767
89	0.007086271567
90	0.007055833227
91	0.007035919578
92	0.0070138579
93	0.007001810726
94	0.006984444441
95	0.006960959319
96	0.006944094259
97	0.006925586104
98	0.006904570195
99	0.006882669386
100	0.006863456062
101	0.006830949504
102	0.006808673688
103	0.006784411328
104	0.006759710996
105	0.006740545007
106	0.006712448805
107	0.006698934693
108	0.006688997216
109	0.006671211707
110	0.006651202872
111	0.006633381187
112	0.006616813519
113	0.006598984461
114	0.006575191885
115	0.006561402353
116	0.0065340204
117	0.006521755171
118	0.006506456722
119	0.006483312914
120	0.006461578336
121	0.006443360042
122	0.006429522475
123	0.006408094612
124	0.006393941103
125	0.006377024249
126	0.006359016551
127	0.006336909408
128	0.006312497337
129	0.006299818423
130	0.006289728858
131	0.006274893699
132	0.006261298589
133	0.006244896294
134	0.006232144516
135	0.006212819898
136	0.006194593707
137	0.006181381806
138	0.006173724828
139	0.006156295305
140	0.006145336522
141	0.006130899524
142	0.006111749195
143	0.006092006963
144	0.006078695703
145	0.006062782791
146	0.006052386714
147	0.006040840847
148	0.006026447115
149	0.00601781366
150	0.006006258025
151	0.005990360666
152	0.005977735138
153	0.005964997379
154	0.005952146052
155	0.005936633677
156	0.005928028
157	0.005915824353
158	0.005907313076
159	0.00588998464
160	0.005876474426
161	0.005861868114
162	0.005848854542
163	0.005840388908
164	0.005830489443
165	0.005814653989
166	0.005801539467
167	0.005786533816
168	0.005772544673
169	0.005758378347
170	0.005744642001
171	0.005738163757
172	0.005722223708
173	0.005707792176
174	0.005695124383
175	0.005687204616
176	0.005671899562
177	0.005656239245
178	0.005642043283
179	0.00563024302
180	0.005618738092
181	0.005604401114
182	0.005586013122
183	0.005570916756
184	0.00555871906
185	0.005548006753
186	0.005533643317
187	0.005521514265
188	0.005510503581
189	0.005497907804
190	0.00548500583
191	0.005471366656
192	0.005462496829
193	0.005451400681
